repo,iso_code,revision_a,revision_b,step_a,step_b,delta_step,cka,change
BeetleLM/beetlelm_nld_mono,nld,step-1000,step-2000,1000,2000,1000,1.0,0.0
BeetleLM/beetlelm_nld_mono,nld,step-2000,step-3000,2000,3000,1000,1.0,0.0
BeetleLM/beetlelm_nld_mono,nld,step-3000,step-4000,3000,4000,1000,1.0,0.0
BeetleLM/beetlelm_nld_mono,nld,step-4000,step-5000,4000,5000,1000,1.0,0.0
BeetleLM/beetlelm_nld_mono,nld,step-5000,step-6000,5000,6000,1000,1.0,0.0
BeetleLM/beetlelm_nld_mono,nld,step-6000,step-7000,6000,7000,1000,1.0,0.0
BeetleLM/beetlelm_nld_mono,nld,step-7000,step-8000,7000,8000,1000,1.0,0.0
BeetleLM/beetlelm_nld_mono,nld,step-8000,step-9000,8000,9000,1000,1.0,0.0
BeetleLM/beetlelm_nld_mono,nld,step-9000,step-10000,9000,10000,1000,1.0,0.0
BeetleLM/beetlelm_nld_mono,nld,step-10000,step-11000,10000,11000,1000,1.0,0.0
BeetleLM/beetlelm_nld_mono,nld,step-11000,step-12000,11000,12000,1000,1.0,0.0
BeetleLM/beetlelm_nld_mono,nld,step-12000,step-13000,12000,13000,1000,1.0,0.0
BeetleLM/beetlelm_nld_mono,nld,step-13000,step-14000,13000,14000,1000,1.0,0.0
BeetleLM/beetlelm_nld_mono,nld,step-14000,step-15000,14000,15000,1000,1.0,0.0
BeetleLM/beetlelm_nld_mono,nld,step-15000,step-16000,15000,16000,1000,1.0,0.0
BeetleLM/beetlelm_nld_mono,nld,step-16000,step-17000,16000,17000,1000,1.0,0.0
BeetleLM/beetlelm_nld_mono,nld,step-17000,step-18000,17000,18000,1000,1.0,0.0
BeetleLM/beetlelm_nld_mono,nld,step-18000,step-19000,18000,19000,1000,1.0,0.0
BeetleLM/beetlelm_nld_mono,nld,step-19000,step-20000,19000,20000,1000,1.0,0.0
BeetleLM/beetlelm_nld_mono,nld,step-20000,step-21000,20000,21000,1000,1.0,0.0
BeetleLM/beetlelm_nld_mono,nld,step-21000,step-22000,21000,22000,1000,1.0,0.0
BeetleLM/beetlelm_nld_mono,nld,step-22000,step-23000,22000,23000,1000,1.0,0.0
BeetleLM/beetlelm_nld_mono,nld,step-23000,step-24000,23000,24000,1000,1.0,0.0
BeetleLM/beetlelm_nld_mono,nld,step-24000,step-25000,24000,25000,1000,1.0,0.0
BeetleLM/beetlelm_nld_mono,nld,step-25000,step-26000,25000,26000,1000,1.0,0.0
BeetleLM/beetlelm_nld_mono,nld,step-26000,step-27000,26000,27000,1000,1.0,0.0
BeetleLM/beetlelm_nld_mono,nld,step-27000,step-28000,27000,28000,1000,1.0,0.0
BeetleLM/beetlelm_nld_mono,nld,step-28000,step-29000,28000,29000,1000,1.0,0.0
BeetleLM/beetlelm_nld_mono,nld,step-29000,step-30000,29000,30000,1000,1.0,0.0
