iso_code,repo,revision,bilingual_type,shared_vocab_pct,n_shared,mean_cosine_dist,std_cosine_dist,median_cosine_dist,probe_的_cosine_dist,probe_是_cosine_dist,probe_在_cosine_dist,probe_了_cosine_dist,probe_不_cosine_dist,probe_有_cosine_dist,probe_我_cosine_dist,probe_他_cosine_dist,probe_这_cosine_dist,probe_人_cosine_dist
zho,BeetleLM/beetlelm_zho_L1-eng_L2_balanced,step-30000,balanced,44.1,1170,0.9965599179267883,0.07418480515480042,1.0008198022842407,0.9837,0.9981,1.0168,1.0121,1.0162,1.0087,0.977,0.9757,1.0088,0.9642
zho,BeetleLM/beetlelm_zho-eng_balanced,step-18341,balanced,44.1,1170,0.9965963363647461,0.07417642325162888,1.0009348392486572,0.984,0.9982,1.0162,1.0121,1.0174,1.0089,0.9769,0.9738,1.0085,0.9635
zho,BeetleLM/beetlelm_zho-ukr_balanced,step-5000,balanced,43.84,1163,0.9963001012802124,0.07422269135713577,1.0008621215820312,1.0027,1.0488,1.0186,1.0239,0.9981,1.0362,1.0132,1.0298,0.998,1.0304
zho,BeetleLM/beetlelm_zho-fra_balanced,step-8000,balanced,44.06,1169,0.9969915747642517,0.07496137917041779,1.0008211135864258,0.9904,1.005,0.9757,0.9961,0.9139,1.0165,1.0107,1.0061,1.0503,0.9778
zho,BeetleLM/beetlelm_zho-fas_balanced,step-16000,balanced,43.87,1164,0.9964097142219543,0.07472699880599976,1.0000011920928955,1.03,0.984,1.0158,0.9469,0.9756,1.0142,1.0802,0.9812,1.0409,1.0284
zho,BeetleLM/beetlelm_zho-ind_balanced,step-2444,balanced,43.8,1162,0.9953500628471375,0.07484795898199081,1.0007250308990479,0.9601,0.9811,1.0187,0.9712,0.9837,0.9775,1.0354,1.0281,0.9826,1.0581
zho,BeetleLM/beetlelm_zho-deu_balanced,step-4000,balanced,43.87,1164,0.9956077933311462,0.07445432990789413,0.9996622204780579,0.9518,1.0205,1.0517,1.0333,0.9858,0.9529,0.9472,0.9762,1.0264,0.9385
zho,BeetleLM/beetlelm_zho-nld_balanced,step-30569,balanced,43.99,1167,0.9973590970039368,0.07438962906599045,1.0003588199615479,1.0296,0.9599,1.0316,0.9948,1.0109,0.9807,0.9573,0.9725,0.9861,1.0564
zho,BeetleLM/beetlelm_zho-bul_balanced,step-30569,balanced,43.87,1164,0.9943463802337646,0.07395080476999283,0.9984219074249268,1.0048,0.9953,0.9914,0.9937,0.9808,0.9741,0.9967,1.0299,1.0078,1.0092
zho,BeetleLM/beetlelm_zho_L1-eng_L2_simultaneous,step-30000,simultaneous,44.1,1170,0.9965521693229675,0.07419383525848389,1.000887393951416,0.9834,0.9985,1.0164,1.0125,1.0172,1.0085,0.9768,0.9745,1.008,0.9631
zho,BeetleLM/beetlelm_zho-fra_part_time,step-17000,part_time,44.06,1169,0.9969836473464966,0.07495008409023285,1.0008840560913086,0.9904,1.0048,0.9757,0.996,0.914,1.0163,1.0106,1.0053,1.0507,0.9784
zho,BeetleLM/beetlelm_zho-ukr_late,step-15000,late,43.84,1163,0.9963140487670898,0.0742204412817955,1.0008763074874878,1.003,1.0489,1.0184,1.0238,0.9979,1.0364,1.0126,1.0303,0.9985,1.0302
zho,BeetleLM/beetlelm_zho-fas_late,step-15000,late,43.87,1164,0.9964080452919006,0.07472231984138489,1.0001379251480103,1.0299,0.9837,1.0154,0.9468,0.9747,1.014,1.0804,0.9812,1.0408,1.0279
zho,BeetleLM/beetlelm_zho-ind_late,step-15000,late,43.8,1162,0.9953444004058838,0.0748385488986969,1.0004887580871582,0.96,0.981,1.0187,0.971,0.9841,0.9769,1.036,1.0276,0.9832,1.0573
zho,BeetleLM/beetlelm_zho-deu_late,step-15000,late,43.87,1164,0.9955930709838867,0.07444628328084946,0.9994133114814758,0.9517,1.0204,1.0518,1.0335,0.9856,0.9537,0.9477,0.9757,1.0261,0.9383
zho,BeetleLM/beetlelm_zho-fra_late,step-15000,late,44.06,1169,0.9969819784164429,0.07495227456092834,1.000869631767273,0.9904,1.0048,0.9757,0.9961,0.914,1.0162,1.0109,1.0055,1.0507,0.9784
zho,BeetleLM/beetlelm_zho-fas_heritage,step-20000,heritage,43.87,1164,0.9964174032211304,0.07471796125173569,1.0001894235610962,1.0298,0.9841,1.0154,0.9466,0.975,1.0144,1.0801,0.981,1.0407,1.0277
zho,BeetleLM/beetlelm_zho-deu_heritage,step-8000,heritage,43.87,1164,0.9955974221229553,0.07445388287305832,0.999579906463623,0.9517,1.0204,1.0519,1.0334,0.9861,0.9532,0.9474,0.9762,1.0264,0.9387
zho,BeetleLM/beetlelm_zho-fra_heritage,step-16000,heritage,44.06,1169,0.9969832301139832,0.07495478540658951,1.001070261001587,0.9903,1.0048,0.9757,0.9959,0.9144,1.0163,1.0109,1.0055,1.0503,0.9781
zho,BeetleLM/beetlelm_zho-bul_heritage,step-20000,heritage,43.87,1164,0.9943414330482483,0.07395155727863312,0.9987732172012329,1.0049,0.9953,0.9918,0.994,0.9806,0.9739,0.9971,1.03,1.0078,1.0082
